iter	Passed	Remaining
906	1622	166
907	1623	164
908	1625	162
909	1626	160
910	1628	159
911	1629	157
912	1630	155
913	1631	153
914	1633	151
915	1634	149
916	1635	148
917	1637	146
918	1638	144
919	1639	142
920	1641	140
921	1642	138
922	1644	137
923	1645	135
924	1646	133
925	1648	131
926	1649	129
927	1651	128
928	1652	126
929	1653	124
930	1655	122
931	1656	120
932	1657	119
933	1659	117
934	1660	115
935	1661	113
936	1662	111
937	1664	110
938	1665	108
939	1667	106
940	1668	104
941	1669	102
942	1671	101
943	1672	99
944	1674	97
945	1675	95
946	1676	93
947	1677	92
948	1679	90
949	1680	88
950	1682	86
951	1683	84
952	1685	83
953	1687	81
954	1688	79
955	1689	77
956	1691	75
957	1692	74
958	1693	72
959	1694	70
960	1696	68
961	1697	67
962	1699	65
963	1700	63
964	1702	61
965	1703	59
966	1704	58
967	1706	56
968	1707	54
969	1708	52
970	1710	51
971	1711	49
972	1712	47
973	1714	45
974	1715	43
975	1717	42
976	1718	40
977	1720	38
978	1721	36
979	1722	35
980	1724	33
981	1725	31
982	1727	29
983	1728	28
984	1729	26
985	1731	24
986	1732	22
987	1733	21
988	1735	19
989	1736	17
990	1737	15
991	1739	14
992	1740	12
993	1741	10
994	1743	8
995	1744	7
996	1745	5
997	1747	3
998	1748	1
999	1749	0
